NO.,Var,dtypes,description,Var Category
97,CD046,Numeric,ION_CALLS_2MON,Call Detail
98,CD047,Numeric,ION_COPMANIES_CALL_2MON,Call Detail
99,CD048,Numeric,ION_INBOPUND_CALLS_2MON,Call Detail
100,CD049,Numeric,ION_COPMANIES_IN_CALL_2MON,Call Detail
101,CD050,Numeric,ION_CALLS_2MON,Call Detail
102,CD051,Numeric,ION_IN_CALL_2MON,Call Detail
103,CD052,Numeric,ION_CALLS_3MON,Call Detail
104,CD053,Numeric,ION_COPMANIES_CALL_3MON,Call Detail
105,CD054,Numeric,ION_INBOPUND_CALLS_3MON,Call Detail
106,CD055,Numeric,ION_COPMANIES_IN_CALL_3MON,Call Detail
107,CD056,Numeric,ION_CALLS_3MON,Call Detail
108,CD057,Numeric,ION_IN_CALL_3MON,Call Detail
109,CD058,Numeric,FAM_CALLS_1MON,Call Detail
110,CD059,Numeric,FAM_IN_CALLS_1MON,Call Detail
111,CD060,Numeric,FAM_OUT_CALLS_1MON,Call Detail
112,CD061,Numeric,FAM_CALLS_1MON_1MON,Call Detail
113,CD062,Numeric,FAM_IN_CALLS_1MON,Call Detail
114,CD063,Numeric,FAM_OUT_CALLS_1MON,Call Detail
115,CD064,Numeric,FAM_CALLS_2MON,Call Detail
116,CD065,Numeric,FAM_IN_CALLS_2MON,Call Detail
117,CD066,Numeric,FAM_OUT_CALLS_2MON,Call Detail
118,CD067,Numeric,FAM_CALLS_2MON_2MON,Call Detail
119,CD068,Numeric,FAM_IN_CALLS_2MON,Call Detail
120,CD069,Numeric,FAM_OUT_CALLS_2MON,Call Detail
121,CD070,Numeric,FAM_CALLS_3MON,Call Detail
122,CD071,Numeric,FAM_IN_CALLS_3MON,Call Detail
123,CD072,Numeric,FAM_OUT_CALLS_3MON,Call Detail
124,CD073,Numeric,FAM_CALLS_3MON_3MON,Call Detail
125,CD074,Numeric,FAM_IN_CALLS_3MON,Call Detail
126,CD075,Numeric,FAM_OUT_CALLS_3MON,Call Detail
127,CD076,Numeric,COLLEAGUE_CALLS_1MON,Call Detail
128,CD077,Numeric,COLLEAGUE_IN_CALLS_1MON,Call Detail
129,CD078,Numeric,COLLEAGUE_OUT_CALLS_1MON,Call Detail
130,CD079,Numeric,COLLEAGUE_CALLS_1MON_1MON,Call Detail
131,CD080,Numeric,COLLEAGUE_IN_CALLS_1MON,Call Detail
132,CD081,Numeric,COLLEAGUE_OUT_CALLS_1MON,Call Detail
133,CD082,Numeric,COLLEAGUE_CALLS_2MON,Call Detail
134,CD083,Numeric,COLLEAGUE_IN_CALLS_2MON,Call Detail
135,CD084,Numeric,COLLEAGUE_OUT_CALLS_2MON,Call Detail
136,CD085,Numeric,COLLEAGUE_CALLS_2MON_2MON,Call Detail
137,CD086,Numeric,COLLEAGUE_IN_CALLS_2MON,Call Detail
138,CD087,Numeric,COLLEAGUE_OUT_CALLS_2MON,Call Detail
139,CD088,Numeric,COLLEAGUE_CALLS_3MON,Call Detail
140,CD089,Numeric,COLLEAGUE_IN_CALLS_3MON,Call Detail
141,CD090,Numeric,COLLEAGUE_OUT_CALLS_3MON,Call Detail
142,CD091,Numeric,COLLEAGUE_CALLS_3MON_3MON,Call Detail
143,CD092,Numeric,COLLEAGUE_IN_CALLS_3MON,Call Detail
144,CD093,Numeric,COLLEAGUE_OUT_CALLS_3MON,Call Detail
145,CD094,Numeric,ABNORMAL_HOURS_CALLS_1MON,Call Detail
146,CD095,Numeric,ABNORMAL_HOURS_IN_CALLS_1MON,Call Detail
147,CD096,Numeric,ABNORMAL_HOURS_OUT_CALLS_1MON,Call Detail
148,CD097,Numeric,ABNORMAL_HOURS_CALLS_1MON_1MON,Call Detail
149,CD098,Numeric,ABNORMAL_HOURS_IN_CALLS_1MON,Call Detail
150,CD099,Numeric,ABNORMAL_HOURS_OUT_CALLS_1MON,Call Detail
151,CD100,Numeric,ABNORMAL_HOURS_CALLS_2MON,Call Detail
152,CD101,Numeric,ABNORMAL_HOURS_IN_CALLS_2MON,Call Detail
153,CD102,Numeric,ABNORMAL_HOURS_OUT_CALLS_2MON,Call Detail
154,CD103,Numeric,ABNORMAL_HOURS_CALLS_2MON_2MON,Call Detail
155,CD104,Numeric,ABNORMAL_HOURS_IN_CALLS_2MON,Call Detail
156,CD105,Numeric,ABNORMAL_HOURS_OUT_CALLS_2MON,Call Detail
157,CD106,Numeric,ABNORMAL_HOURS_CALLS_3MON,Call Detail
158,CD107,Numeric,ABNORMAL_HOURS_IN_CALLS_3MON,Call Detail
159,CD108,Numeric,ABNORMAL_HOURS_OUT_CALLS_3MON,Call Detail
160,CD109,Numeric,ABNORMAL_HOURS_CALLS_3MON_3MON,Call Detail
161,CD110,Numeric,ABNORMAL_HOURS_IN_CALLS_3MON,Call Detail
162,CD111,Numeric,ABNORMAL_HOURS_OUT_CALLS_3MON,Call Detail
163,CD112,Numeric,ABNORMAL_HOURS_CALL_DAYS_1MON,Call Detail
164,CD113,Numeric,ABNORMAL_HOURS_CALL_DAYS_2MON,Call Detail
165,CD114,Numeric,ABNORMAL_HOURS_CALL_DAYS_3MON,Call Detail
166,CD115,Numeric,DISTINCT_CALLS_1MON,Call Detail
167,CD116,Numeric,DISTINCT_IN_CALLS_1MON,Call Detail
168,CD117,Numeric,DISTINCT_OUT_CALLS_1MON,Call Detail
169,CD118,Numeric,DISTINCT_CALLS_2MON,Call Detail
170,CD119,Numeric,DISTINCT_IN_CALLS_2MON,Call Detail
171,CD120,Numeric,DISTINCT_OUT_CALLS_2MON,Call Detail
172,CD121,Numeric,DISTINCT_CALLS_3MON,Call Detail
173,CD122,Numeric,DISTINCT_IN_CALLS_3MON,Call Detail
174,CD123,Numeric,DISTINCT_OUT_CALLS_3MON,Call Detail
175,CD124,Numeric,TOP3_FREQUENT_PHONE_PHONE_NUMBERS_TOTAL_CALLS_1MON,Call Detail
176,CD125,Numeric,TOP3_FREQUENT_OUT_PHONE_PHONE_NUMBERS_IN_CALLS_1MON,Call Detail
177,CD126,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_OUT_CALLS_1MON,Call Detail
178,CD127,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_OUT_CALLS_1MON,Call Detail
179,CD128,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_IN_CALLS_1MON,Call Detail
180,CD129,Numeric,TOP3_FREQUENT_PHONE_NUMBERS_TOTAL_CALLS_2MON,Call Detail
181,CD130,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_IN_CALLS_2MON,Call Detail
182,CD131,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_OUT_CALLS_2MON,Call Detail
183,CD132,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_OUT_CALLS_2MON,Call Detail
184,CD133,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_IN_CALLS_2MON,Call Detail
185,CD134,Numeric,TOP3_FREQUENT_PHONE_NUMBERS_TOTAL_CALLS_3MON,Call Detail
186,CD135,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_IN_CALLS_3MON,Call Detail
187,CD136,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_OUT_CALLS_3MON,Call Detail
188,CD137,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_OUT_CALLS_3MON,Call Detail
189,CD138,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_IN_CALLS_3MON,Call Detail
190,CD139,Numeric,TOP3_FREQUENT_PHONE_NUMBERS_TOTAL_CALLS_1MON,Call Detail
191,CD140,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_IN_CALLS_1MON,Call Detail
192,CD141,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_OUT_CALLS_1MON,Call Detail
193,CD142,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_OUT_CALLS_1MON,Call Detail
194,CD143,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_IN_CALLS_1MON,Call Detail
195,CD144,Numeric,TOP3_FREQUENT_PHONE_NUMBERS_TOTAL_CALLS_2MON,Call Detail
196,CD145,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_IN_CALLS_2MON,Call Detail
197,CD146,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_OUT_CALLS_2MON,Call Detail
198,CD147,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_OUT_CALLS_2MON,Call Detail
199,CD148,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_IN_CALLS_2MON,Call Detail
200,CD149,Numeric,TOP3_FREQUENT_PHONE_NUMBERS_TOTAL_CALLS_3MON,Call Detail
201,CD150,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_IN_CALLS_3MON,Call Detail
202,CD151,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_OUT_CALLS_3MON,Call Detail
203,CD152,Numeric,TOP3_FREQUENT_OUT_PHONE_NUMBERS_OUT_CALLS_3MON,Call Detail
204,CD153,Numeric,TOP3_FREQUENT_IN_PHONE_NUMBERS_IN_CALLS_3MON,Call Detail
205,CD154,Numeric,SVC_CALL1MON,Call Detail
206,CD155,Numeric,DISTINCT_SVC_CALL1MON,Call Detail
207,CD156,Numeric,SERVICE_OUT_CALLS_1MON,Call Detail
208,CD157,Numeric,SERVICE_IN_CALLS_1MON,Call Detail
209,CD158,Numeric,SVC_CALL2MON,Call Detail
210,CD159,Numeric,DISTINCT_SVC_CALL2MON,Call Detail
211,CD160,Numeric,SERVICE_OUT_CALLS_2MON,Call Detail
212,CD161,Numeric,SERVICE_IN_CALLS_2MON,Call Detail
213,CD162,Numeric,SVC_CALL3MON,Call Detail
214,CD163,Numeric,DISTINCT_SVC_CALL3MON,Call Detail
